"","Time","Susceptible","Exposed","Infected","Removed","Event"
"1",0,10000,0,100,0,0
"2",0.00656846576814956,10000,0,99,1,3
"3",0.0073304795736529,10000,0,98,2,3
"4",0.0126902676280769,10000,0,97,3,3
"5",0.017410117644599,10000,0,96,4,3
"6",0.0197802366109058,9999,1,96,4,1
"7",0.0225819160964102,9998,2,96,4,1
"8",0.0229749754913809,9998,2,95,5,3
"9",0.0250298140600723,9997,3,95,5,1
"10",0.0283071176225562,9997,2,96,5,2
"11",0.03135505412377,9996,3,96,5,1
"12",0.0349058574869483,9996,3,95,6,3
"13",0.0564308426951425,9995,4,95,6,1
"14",0.0632430639246441,9994,5,95,6,1
"15",0.065270928838445,9993,6,95,6,1
"16",0.0694096107037203,9992,7,95,6,1
"17",0.0701299155811187,9991,8,95,6,1
"18",0.0725606246338317,9990,9,95,6,1
"19",0.0744808238382184,9989,10,95,6,1
"20",0.0842074449088814,9989,9,96,6,2
"21",0.0886283891527804,9988,10,96,6,1
"22",0.0917049900969867,9988,10,95,7,3
"23",0.10264604473957,9987,11,95,7,1
"24",0.105616805121781,9987,10,96,7,2
"25",0.112219316105905,9986,11,96,7,1
"26",0.11973638298144,9985,12,96,7,1
"27",0.120882326243314,9984,13,96,7,1
"28",0.122549106423333,9983,14,96,7,1
"29",0.125040178801357,9982,15,96,7,1
"30",0.128891955464946,9981,16,96,7,1
"31",0.129465426156337,9980,17,96,7,1
"32",0.132655644225792,9979,18,96,7,1
"33",0.135724326506056,9978,19,96,7,1
"34",0.139156862387646,9978,18,97,7,2
"35",0.142833647382737,9978,18,96,8,3
"36",0.146360937552295,9978,18,95,9,3
"37",0.151404021475741,9977,19,95,9,1
"38",0.154319804375961,9977,18,96,9,2
"39",0.1569125626645,9976,19,96,9,1
"40",0.168882724824203,9976,19,95,10,3
"41",0.184122383033165,9976,18,96,10,2
"42",0.195065959088567,9975,19,96,10,1
"43",0.196330112062025,9974,20,96,10,1
"44",0.197733856689534,9973,21,96,10,1
"45",0.202938156585689,9973,21,95,11,3
"46",0.218349456598152,9972,22,95,11,1
"47",0.219833404030301,9972,22,94,12,3
"48",0.222317573012234,9971,23,94,12,1
"49",0.223405956789313,9970,24,94,12,1
"50",0.227018088779047,9969,25,94,12,1
"51",0.232373609473984,9969,24,95,12,2
"52",0.236439860590577,9969,24,94,13,3
"53",0.251303547915501,9968,25,94,13,1
"54",0.258762093964558,9967,26,94,13,1
"55",0.25931569895536,9967,25,95,13,2
"56",0.259329249151074,9966,26,95,13,1
"57",0.263593220841769,9965,27,95,13,1
"58",0.274797302482451,9965,27,94,14,3
"59",0.279190571350581,9964,28,94,14,1
"60",0.282112735311149,9964,27,95,14,2
"61",0.285134951177056,9963,28,95,14,1
"62",0.286057698613309,9962,29,95,14,1
"63",0.290976486342408,9961,30,95,14,1
"64",0.291818699720545,9960,31,95,14,1
"65",0.295766368418967,9959,32,95,14,1
"66",0.297377878757513,9958,33,95,14,1
"67",0.300902423974677,9958,32,96,14,2
"68",0.30173441539269,9957,33,96,14,1
"69",0.302455338104034,9957,33,95,15,3
"70",0.30307639669492,9957,33,94,16,3
"71",0.305694573144436,9956,34,94,16,1
"72",0.309329625913023,9955,35,94,16,1
"73",0.313916719643652,9955,35,93,17,3
"74",0.314716093629059,9954,36,93,17,1
"75",0.319229934997409,9953,37,93,17,1
"76",0.319346785956614,9952,38,93,17,1
"77",0.328879311300853,9951,39,93,17,1
"78",0.329138470859876,9950,40,93,17,1
"79",0.334948180188771,9950,40,92,18,3
"80",0.337296859160956,9950,39,93,18,2
"81",0.339137854623316,9950,39,92,19,3
"82",0.34231580195458,9949,40,92,19,1
"83",0.346362256963137,9948,41,92,19,1
"84",0.348368958496249,9948,40,93,19,2
"85",0.349760638472209,9948,39,94,19,2
"86",0.351754603273134,9948,38,95,19,2
"87",0.359822622001339,9947,39,95,19,1
"88",0.366758255535652,9947,39,94,20,3
"89",0.38200457592838,9947,38,95,20,2
"90",0.384706606429446,9947,38,94,21,3
"91",0.385249828944487,9946,39,94,21,1
"92",0.386343710472052,9946,38,95,21,2
"93",0.396851259904552,9945,39,95,21,1
"94",0.399316789079515,9945,38,96,21,2
"95",0.399665147392682,9944,39,96,21,1
"96",0.401739990732071,9943,40,96,21,1
"97",0.403325280822026,9943,39,97,21,2
"98",0.403973797561628,9942,40,97,21,1
"99",0.405412677978796,9941,41,97,21,1
"100",0.408778872853856,9941,40,98,21,2
"101",0.408967496063253,9941,39,99,21,2
"102",0.415113431576826,9940,40,99,21,1
"103",0.416423549740165,9939,41,99,21,1
"104",0.417209518904693,9939,40,100,21,2
"105",0.421270725820527,9939,39,101,21,2
"106",0.421718693263117,9938,40,101,21,1
"107",0.426206431921341,9938,39,102,21,2
"108",0.42726919651028,9937,40,102,21,1
"109",0.427772365749819,9937,39,103,21,2
"110",0.430704098285363,9937,38,104,21,2
"111",0.431563064100147,9936,39,104,21,1
"112",0.438149783451904,9935,40,104,21,1
"113",0.438460651102264,9934,41,104,21,1
"114",0.439315910039744,9934,40,105,21,2
"115",0.440040947954515,9934,40,104,22,3
